CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684792513703;(-1.997320, 1.566059, -1.693887);(1.375348, 0.221462, -1.445275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792513803;(-1.997320, 1.566059, -1.693887);(1.375348, 0.221462, -1.445275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792513903;(-1.997320, 1.566059, -1.693887);(1.375348, 0.221462, -1.445275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514003;(-1.997320, 1.566059, -1.693887);(1.375348, 0.221462, -1.445275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514103;(-1.997320, 1.566059, -1.693887);(1.375348, 0.221462, -1.445275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514203;(-1.990790, 1.582630, -1.695267);(1.397389, 0.371351, -1.311665);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514303;(-1.982852, 1.605779, -1.699533);(1.405714, 0.638410, -1.049827);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514403;(-1.980513, 1.609879, -1.701403);(1.399217, 0.735907, -0.941426);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514503;(-1.980513, 1.609879, -1.701403);(1.406937, 0.758091, -0.918221);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514603;(-1.980513, 1.609879, -1.701403);(1.420018, 0.685881, -0.973409);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514703;(-1.980513, 1.609879, -1.701403);(1.426513, 0.483482, -1.142655);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514803;(-1.980513, 1.609879, -1.701403);(1.424082, 0.414616, -1.200280);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792514903;(-1.980513, 1.609879, -1.701403);(1.421921, 0.472511, -1.146937);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515004;(-1.980513, 1.609879, -1.701403);(1.423411, 0.461738, -1.172753);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515104;(-1.980513, 1.609879, -1.701403);(1.436359, 0.445396, -1.216884);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515204;(-1.980513, 1.609879, -1.701403);(1.456232, 0.482723, -1.207440);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515304;(-1.980513, 1.609879, -1.701403);(1.473056, 0.697980, -1.020798);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515404;(-1.980513, 1.609879, -1.701403);(1.478730, 0.955008, -0.790904);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515504;(-1.980513, 1.609879, -1.701403);(1.466433, 1.121336, -0.655750);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515509;(-1.980513, 1.609879, -1.701403);(1.466326, 1.132148, -0.649919);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515514;(-1.980513, 1.609879, -1.701403);(1.466326, 1.132148, -0.649919);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515519;(-1.980513, 1.609879, -1.701403);(1.466326, 1.132148, -0.649919);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792515524;(-1.980513, 1.609879, -1.701403);(1.466534, 1.137236, -0.651937);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
