CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1685567085433;(0.694614, 0.055620, -0.951430);(0.176799, 0.316494, -0.020411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567085533;(0.694614, 0.055620, -0.951430);(0.176799, 0.316494, -0.020411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567085633;(0.694614, 0.055620, -0.951430);(0.176799, 0.316494, -0.020411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567085733;(0.694614, 0.055620, -0.951430);(0.176799, 0.316494, -0.020411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567085833;(0.694418, 0.055693, -0.951449);(0.176334, 0.316694, -0.019993);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567085933;(0.694418, 0.055693, -0.951449);(0.176334, 0.316694, -0.019993);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086033;(0.694809, 0.055142, -0.952001);(0.176667, 0.316581, -0.020680);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086133;(0.694809, 0.055142, -0.952001);(0.176667, 0.316581, -0.020680);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086233;(0.694865, 0.054634, -0.952202);(0.177430, 0.316523, -0.020656);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086333;(0.694865, 0.054634, -0.952202);(0.177430, 0.316523, -0.020656);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086433;(0.694715, 0.054971, -0.951960);(0.177164, 0.316511, -0.020449);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086533;(0.694715, 0.054971, -0.951960);(0.177164, 0.316511, -0.020449);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086634;(0.694839, 0.054826, -0.952083);(0.177140, 0.316465, -0.020612);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086734;(0.694839, 0.054826, -0.952083);(0.177140, 0.316465, -0.020612);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086834;(0.694916, 0.054638, -0.952228);(0.177339, 0.316490, -0.020447);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567086934;(0.694916, 0.054638, -0.952228);(0.177339, 0.316490, -0.020447);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087034;(0.694615, 0.054931, -0.951963);(0.177593, 0.316338, -0.020390);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087134;(0.694615, 0.054931, -0.951963);(0.177593, 0.316338, -0.020390);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087234;(0.694559, 0.055630, -0.951611);(0.177846, 0.316706, -0.020766);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087334;(0.694559, 0.055630, -0.951611);(0.177846, 0.316706, -0.020766);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087434;(0.694481, 0.055874, -0.951573);(0.177801, 0.316608, -0.020981);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087534;(0.694481, 0.055874, -0.951573);(0.177801, 0.316608, -0.020981);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087634;(0.694385, 0.055800, -0.951756);(0.178112, 0.316797, -0.020993);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087734;(0.694385, 0.055800, -0.951756);(0.178112, 0.316797, -0.020993);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087834;(0.694631, 0.055822, -0.951441);(0.177600, 0.316717, -0.021135);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567087934;(0.694631, 0.055822, -0.951441);(0.177600, 0.316717, -0.021135);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088034;(0.694005, 0.056047, -0.951220);(0.177591, 0.316730, -0.020839);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088134;(0.694005, 0.056047, -0.951220);(0.177591, 0.316730, -0.020839);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088234;(0.694487, 0.056070, -0.951211);(0.177471, 0.316704, -0.021469);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088334;(0.694487, 0.056070, -0.951211);(0.177471, 0.316704, -0.021469);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088434;(0.694128, 0.056345, -0.951032);(0.177298, 0.316959, -0.021443);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088534;(0.694128, 0.056345, -0.951032);(0.177298, 0.316959, -0.021443);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088634;(0.694332, 0.056338, -0.951139);(0.177490, 0.317023, -0.021333);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088834;(0.694332, 0.056338, -0.951139);(0.177490, 0.317023, -0.021333);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567088934;(0.694197, 0.056639, -0.951171);(0.177651, 0.316801, -0.021685);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089034;(0.694197, 0.056639, -0.951171);(0.177651, 0.316801, -0.021685);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089134;(0.693864, 0.057239, -0.950556);(0.177488, 0.316944, -0.021348);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089234;(0.693864, 0.057239, -0.950556);(0.177488, 0.316944, -0.021348);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089335;(0.694178, 0.057000, -0.950743);(0.177598, 0.316925, -0.021696);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089435;(0.694178, 0.057000, -0.950743);(0.177598, 0.316925, -0.021696);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089535;(0.694201, 0.056406, -0.951096);(0.177274, 0.316649, -0.021545);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089635;(0.694201, 0.056406, -0.951096);(0.177274, 0.316649, -0.021545);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089735;(0.694462, 0.055690, -0.951636);(0.177746, 0.316738, -0.021446);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089835;(0.694462, 0.055690, -0.951636);(0.177746, 0.316738, -0.021446);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685567089935;(0.694954, 0.055934, -0.951298);(0.175879, 0.314729, -0.025074);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
