CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684619894837;(-0.128164, 1.064166, -0.009188);(0.135702, 0.137849, 0.023084);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619894937;(-0.128164, 1.064166, -0.009188);(0.135702, 0.137849, 0.023084);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895037;(-0.128164, 1.064166, -0.009188);(0.135702, 0.137849, 0.023084);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895137;(-0.128164, 1.064166, -0.009188);(0.135702, 0.137849, 0.023084);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895237;(-0.128164, 1.064166, -0.009188);(0.135702, 0.137849, 0.023084);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895337;(-0.128477, 1.064545, -0.010087);(0.136295, 0.140573, 0.025716);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895437;(-0.129812, 1.065099, -0.012381);(0.135546, 0.147354, 0.031439);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895537;(-0.131586, 1.065816, -0.013267);(0.131328, 0.143246, 0.037055);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895637;(-0.132240, 1.065811, -0.012953);(0.129222, 0.143637, 0.039975);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895738;(-0.131837, 1.065620, -0.012257);(0.130093, 0.145108, 0.038905);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895838;(-0.131022, 1.065037, -0.012148);(0.130964, 0.146451, 0.035583);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619895938;(-0.130565, 1.064913, -0.012409);(0.131808, 0.145684, 0.034017);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896038;(-0.130036, 1.064917, -0.012713);(0.133807, 0.146773, 0.033067);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896138;(-0.130132, 1.064946, -0.012728);(0.134726, 0.147420, 0.032437);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896238;(-0.129945, 1.064965, -0.012469);(0.135249, 0.146568, 0.031586);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896338;(-0.130155, 1.065004, -0.012272);(0.135026, 0.147155, 0.031940);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896438;(-0.130314, 1.065011, -0.012298);(0.135388, 0.146389, 0.032034);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896538;(-0.130590, 1.065015, -0.012508);(0.135245, 0.147128, 0.032631);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896638;(-0.130800, 1.065149, -0.012740);(0.134365, 0.147532, 0.033779);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896738;(-0.130970, 1.065508, -0.013592);(0.131580, 0.150498, 0.038635);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896838;(-0.131162, 1.065684, -0.016154);(0.131473, 0.154227, 0.041971);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619896938;(-0.131361, 1.065924, -0.017920);(0.130993, 0.155787, 0.045157);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897038;(-0.131851, 1.066075, -0.018183);(0.129835, 0.154570, 0.047675);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897138;(-0.131969, 1.066138, -0.017586);(0.129181, 0.155680, 0.047683);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897238;(-0.132434, 1.066242, -0.016297);(0.126575, 0.157175, 0.047159);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897338;(-0.133119, 1.066875, -0.015083);(0.117303, 0.158624, 0.053727);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897438;(-0.134345, 1.067428, -0.013526);(0.111668, 0.159638, 0.063243);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897538;(-0.135924, 1.067800, -0.012100);(0.107348, 0.144885, 0.061706);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897638;(-0.133922, 1.067069, -0.011570);(0.110498, 0.166586, 0.057928);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897738;(-0.133575, 1.066487, -0.010447);(0.112895, 0.155937, 0.048340);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897838;(-0.131956, 1.066229, -0.010531);(0.114584, 0.162910, 0.048348);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619897938;(-0.131568, 1.066200, -0.010620);(0.116566, 0.160655, 0.047859);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619898038;(-0.131150, 1.066040, -0.010710);(0.118441, 0.160865, 0.045006);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684619898138;(-0.130773, 1.065649, -0.010875);(0.119388, 0.162348, 0.044978);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
